continent,country_clean,ISO_A,year,sector,indicator,indicator_group,age_group,education_level,HDI_2023,avg_m,avg_f,gap_abs,gap_pct,rows_count
Oceania,Palau,PLW_A,2014,Other,"Labour Participation Rate","Labour Force","Adults (25-54)","Not stated",0.786,89.58263636363637,75.40254545454546,14.180090909090907,15.829061841326798,22
Oceania,Palau,PLW_A,2014,Other,"Labour Participation Rate","Labour Force","Youth (15-24)","Not stated",0.786,37.0432,29.785199999999996,7.258000000000003,19.593339668279206,10
Oceania,Palau,PLW_A,2014,Other,"Labour Participation Rate","Labour Force","Senior (55+)","Not stated",0.786,45.53542857142857,29.944,15.591428571428569,34.2402148405637,14
Oceania,Palau,PLW_A,2020,Other,Employment,Employment,"Child (<15)","Not stated",0.786,5.659,3.807,1.8519999999999999,32.726630146669024,2
Oceania,Palau,PLW_A,2020,Other,Employment,Employment,"Adults (25-54)","Not stated",0.786,1.666272727272727,1.1180909090909092,0.5481818181818177,32.89868514376123,22
Oceania,Palau,PLW_A,2020,Other,Employment,Employment,"Youth (15-24)","Not stated",0.786,1.2637999999999998,0.8512000000000001,0.41259999999999974,32.64757081816742,10
Oceania,Palau,PLW_A,2020,Other,Employment,Employment,"Senior (55+)","Not stated",0.786,0.45042857142857146,0.3077142857142857,0.14271428571428574,31.68411037107517,14
Oceania,Palau,PLW_A,2014,Other,Employment,Employment,"Child (<15)","Not stated",0.786,5.027,3.795,1.2320000000000002,24.507658643326042,2
Oceania,Palau,PLW_A,2014,Other,Employment,Employment,"Adults (25-54)","Not stated",0.786,1.524727272727273,1.1488181818181817,0.3759090909090912,24.65418554734082,22
Oceania,Palau,PLW_A,2014,Other,Employment,Employment,"Youth (15-24)","Not stated",0.786,1.1434,0.8984,0.245,21.427322022039533,10
Oceania,Palau,PLW_A,2014,Other,Employment,Employment,"Senior (55+)","Not stated",0.786,0.319,0.207,0.11200000000000002,35.109717868338564,14
Oceania,Palau,PLW_A,2020,Other,Unemployment,Unemployment,"Child (<15)","Not stated",0.786,0.033,0.04,-0.006999999999999999,-21.21212121212121,2
Oceania,Palau,PLW_A,2020,Other,Unemployment,Unemployment,"Adults (25-54)","Not stated",0.786,0.014166666666666668,0.018166666666666664,-0.003999999999999997,-28.23529411764703,12
Oceania,Palau,PLW_A,2020,Other,Unemployment,Unemployment,"Youth (15-24)","Not stated",0.786,0.013250000000000001,0.014,-0.0007499999999999989,-5.660377358490557,8
Oceania,Palau,PLW_A,2014,Other,Unemployment,Unemployment,"Child (<15)","Not stated",0.786,0.054,0.068,-0.014000000000000005,-25.925925925925934,2
Oceania,Palau,PLW_A,2014,Other,Unemployment,Unemployment,"Adults (25-54)","Not stated",0.786,0.043,0.06,-0.017,-39.53488372093024,3
Oceania,Palau,PLW_A,2014,Other,Unemployment,Unemployment,"Youth (15-24)","Not stated",0.786,0.034,0.048,-0.013999999999999999,-41.17647058823529,2
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Child (<15)","Less than basic",0.678,288.192,219.59633333333332,68.59566666666669,23.802071766970176,6
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Child (<15)",Basic,0.678,423.2545,273.7605,149.49400000000003,35.320120636638244,4
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Child (<15)",Intermediate,0.678,264.60966666666667,192.04099999999997,72.5686666666667,27.42479803584904,6
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Child (<15)",Advanced,0.678,225.977,203.5715,22.405500000000018,9.914947096385923,8
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Child (<15)","Not stated",0.678,16.352,18.472,-2.120000000000001,-12.964774951076327,4
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Adults (25-54)","Less than basic",0.678,111.76433333333333,91.16413333333335,20.600199999999973,18.431819334134598,30
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Adults (25-54)",Basic,0.678,182.3207,124.3555,57.96519999999998,31.792988947497452,20
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Adults (25-54)",Intermediate,0.678,122.40793333333336,89.89833333333334,32.50960000000002,26.558409340571075,30
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Adults (25-54)",Advanced,0.678,110.52744999999997,109.26910526315791,1.2583447368420622,1.1384906978692284,39
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Adults (25-54)","Not stated",0.678,9.781999999999998,9.63725,0.14474999999999838,1.4797587405438397,16
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Youth (15-24)","Less than basic",0.678,84.60933333333332,59.076750000000004,25.53258333333332,30.177029326945792,24
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Youth (15-24)",Basic,0.678,150.336125,90.971125,59.36500000000001,39.4881802361209,16
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Youth (15-24)",Intermediate,0.678,99.78433333333332,73.56224999999999,26.22208333333333,26.278757854439405,24
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Youth (15-24)",Advanced,0.678,87.82238461538462,75.98776923076925,11.834615384615375,13.475625191054311,26
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Youth (15-24)","Not stated",0.678,6.366250000000001,8.7095,-2.3432499999999994,-36.80738268211269,16
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Senior (55+)","Less than basic",0.678,51.746833333333335,38.44933333333333,13.297500000000007,25.697224628882292,24
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Senior (55+)",Basic,0.678,38.475,23.403000000000002,15.072,39.173489278752434,16
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Senior (55+)",Intermediate,0.678,10.485333333333335,5.503166666666668,4.982166666666667,47.515577314343844,24
"North America","El Salvador",SLV_A,2023,Other,"Labour Force","Labour Force","Senior (55+)",Advanced,0.678,16.372285714285713,14.507500000000002,1.864785714285711,11.389892326754252,26
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Child (<15)","Less than basic",0.678,291.594,201.40466666666669,90.18933333333331,30.929763072399748,6
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Child (<15)",Basic,0.678,415.1895,258.976,156.2135,37.62462682702718,4
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Child (<15)",Intermediate,0.678,252.46366666666665,178.54833333333332,73.91533333333334,29.27761222406921,6
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Child (<15)",Advanced,0.678,231.481,200.59675000000001,30.88424999999998,13.342023751409396,8
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Child (<15)","Not stated",0.678,11.979,12.571,-0.5920000000000005,-4.941981801485938,4
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Adults (25-54)","Less than basic",0.678,115.32119999999999,85.48939999999999,29.8318,25.86844396346899,30
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Adults (25-54)",Basic,0.678,175.82210000000003,118.6344,57.187700000000035,32.52588838376975,20
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Adults (25-54)",Intermediate,0.678,114.73719999999999,83.01033333333335,31.726866666666638,27.651770015885557,30
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Adults (25-54)",Advanced,0.678,125.88177777777781,113.93777777777778,11.944000000000031,9.488267651482541,36
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Adults (25-54)","Not stated",0.678,6.7125,6.166500000000001,0.5459999999999994,8.134078212290493,16
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Youth (15-24)","Less than basic",0.678,85.4215,55.04558333333332,30.375916666666676,35.560036602806875,24
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Youth (15-24)",Basic,0.678,153.74337500000001,85.485375,68.25800000000001,44.39736021145627,16
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Youth (15-24)",Intermediate,0.678,99.98241666666667,69.20391666666666,30.778500000000008,30.78391283800736,24
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Youth (15-24)",Advanced,0.678,92.75838461538461,77.51376923076921,15.2446153846154,16.434757297494997,26
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Youth (15-24)","Not stated",0.678,5.13725,6.38025,-1.2430000000000003,-24.19582461433647,16
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Senior (55+)","Less than basic",0.678,50.76866666666666,32.918,17.850666666666662,35.16079471590088,24
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Senior (55+)",Basic,0.678,35.806250000000006,21.669,14.137250000000005,39.482632222028286,16
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Senior (55+)",Intermediate,0.678,8.111833333333331,7.731000000000001,0.3808333333333307,4.6947874504324645,20
"North America","El Salvador",SLV_A,2022,Other,"Labour Force","Labour Force","Senior (55+)",Advanced,0.678,14.500714285714285,11.515499999999998,2.985214285714287,20.586670607359252,26
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Child (<15)","Less than basic",0.678,294.87,205.606,89.26400000000001,30.272323396751116,6
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Child (<15)",Basic,0.678,412.3295,245.2525,167.077,40.52026352710635,4
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Child (<15)",Intermediate,0.678,247.5176666666667,171.65333333333334,75.86433333333338,30.6500680759488,6
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Child (<15)",Advanced,0.678,222.17825,190.896,31.282250000000005,14.079798540136132,8
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Child (<15)","Not stated",0.678,11.462,15.602,-4.140000000000001,-36.11935089862154,4
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Adults (25-54)","Less than basic",0.678,118.45153333333334,86.76999999999998,31.681533333333363,26.746410486877075,30
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Adults (25-54)",Basic,0.678,173.74999999999997,111.578,62.17199999999997,35.78244604316546,20
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Adults (25-54)",Intermediate,0.678,110.80913333333334,77.92366666666666,32.88546666666667,29.677577720729403,30
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Adults (25-54)",Advanced,0.678,127.34476470588234,113.12317647058823,14.221588235294107,11.167783982435816,34
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Adults (25-54)","Not stated",0.678,6.85175,7.910500000000001,-1.0587500000000007,-15.452256722735077,16
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Youth (15-24)","Less than basic",0.678,86.75816666666668,56.08316666666665,30.675000000000033,35.35690203996168,24
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Youth (15-24)",Basic,0.678,158.022625,82.80287500000001,75.21974999999999,47.600620480769756,16
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Youth (15-24)",Intermediate,0.678,99.61891666666664,68.759,30.859916666666635,30.977968541784627,24
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Youth (15-24)",Advanced,0.678,90.47676923076924,74.34384615384616,16.132923076923078,17.831011445351887,26
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Youth (15-24)","Not stated",0.678,4.55975,7.591750000000001,-3.032000000000001,-66.49487362245739,16
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Senior (55+)","Less than basic",0.678,48.390666666666675,34.02433333333333,14.366333333333344,29.68823189044721,24
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Senior (55+)",Basic,0.678,31.75575,19.872750000000003,11.882999999999996,37.419994804090585,16
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Senior (55+)",Intermediate,0.678,8.319166666666666,5.000166666666666,3.319,39.89582289892818,24
"North America","El Salvador",SLV_A,2021,Other,"Labour Force","Labour Force","Senior (55+)",Advanced,0.678,15.852333333333336,12.029666666666666,3.82266666666667,24.11422082974117,24
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Child (<15)","Less than basic",0.678,288.2953333333333,209.71466666666666,78.58066666666664,27.257002656997564,6
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Child (<15)",Basic,0.678,413.2355,250.59550000000002,162.64,39.35770281110892,4
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Child (<15)",Intermediate,0.678,248.2063333333333,160.44233333333332,87.76399999999998,35.359291127408774,6
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Child (<15)",Advanced,0.678,226.59475,186.172,40.42275000000001,17.83922619566429,8
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Child (<15)","Not stated",0.678,14.771,16.075,-1.3039999999999985,-8.828109132760128,4
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Adults (25-54)","Less than basic",0.678,113.69346666666667,90.2108,23.48266666666666,20.654367709197004,30
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Adults (25-54)",Basic,0.678,173.18880000000001,110.0306,63.15820000000001,36.4678316380736,20
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Adults (25-54)",Intermediate,0.678,109.3981333333333,71.22893333333333,38.169199999999975,34.890174847590316,30
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Adults (25-54)",Advanced,0.678,130.34788235294118,110.5595294117647,19.788352941176484,15.181184829375157,34
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Adults (25-54)","Not stated",0.678,8.81625,9.02475,-0.20849999999999902,-2.364951084644821,16
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Youth (15-24)","Less than basic",0.678,84.23058333333334,56.97325000000001,27.257333333333335,32.36037583340176,24
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Youth (15-24)",Basic,0.678,158.78074999999998,83.93762500000001,74.84312499999997,47.13614528209495,16
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Youth (15-24)",Intermediate,0.678,102.20299999999999,66.99674999999998,35.20625000000001,34.447374343218904,24
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Youth (15-24)",Advanced,0.678,93.06184615384616,74.43053846153845,18.631307692307715,20.020350403867095,26
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Youth (15-24)","Not stated",0.678,5.47625,7.050250000000001,-1.5740000000000007,-28.74229627938828,16
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Senior (55+)","Less than basic",0.678,49.61666666666667,32.239,17.37766666666667,35.023849512932486,24
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Senior (55+)",Basic,0.678,32.132000000000005,25.304250000000003,6.827750000000002,21.249066351300886,16
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Senior (55+)",Intermediate,0.678,8.042166666666668,5.5915,2.4506666666666685,30.47271672227635,20
"North America","El Salvador",SLV_A,2020,Other,"Labour Force","Labour Force","Senior (55+)",Advanced,0.678,14.406,9.936,4.470000000000001,31.028738025822577,24
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Child (<15)","Less than basic",0.678,317.732,225.187,92.54500000000002,29.126748328780234,6
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Child (<15)",Basic,0.678,440.94050000000004,275.501,165.43950000000007,37.519688030471244,4
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Child (<15)",Intermediate,0.678,269.73066666666665,179.33900000000003,90.39166666666662,33.51182414062421,6
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Child (<15)",Advanced,0.678,226.11999999999998,188.999,37.12099999999998,16.416504510879175,8
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Adults (25-54)","Less than basic",0.678,127.17599999999997,96.97226666666667,30.203733333333304,23.749554423266424,30
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Adults (25-54)",Basic,0.678,181.8701,125.23229999999998,56.63780000000003,31.141897431188536,20
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Adults (25-54)",Intermediate,0.678,119.85146666666668,79.33386666666667,40.517600000000016,33.80651161548852,30
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Adults (25-54)",Advanced,0.678,115.71684210526315,100.24021052631578,15.476631578947377,13.374571322011086,38
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Youth (15-24)","Less than basic",0.678,93.62883333333333,61.29483333333334,32.333999999999996,34.53423357833146,24
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Youth (15-24)",Basic,0.678,170.039625,94.70525,75.334375,44.30401149143913,16
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Youth (15-24)",Intermediate,0.678,109.89833333333335,73.62641666666667,36.271916666666684,33.00497429442365,24
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Youth (15-24)",Advanced,0.678,90.08523076923076,75.005,15.080230769230766,16.739959081485225,26
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Senior (55+)","Less than basic",0.678,52.33983333333334,34.660666666666664,17.679166666666674,33.77765182031533,24
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Senior (55+)",Basic,0.678,37.67975,21.54825,16.1315,42.812120568740504,16
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Senior (55+)",Intermediate,0.678,9.081833333333334,6.057500000000001,3.024333333333333,33.30091207722376,24
"North America","El Salvador",SLV_A,2019,Other,"Labour Force","Labour Force","Senior (55+)",Advanced,0.678,15.492142857142854,11.481833333333332,4.010309523809521,25.886086649146257,26
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Child (<15)","Less than basic",0.678,316.91799999999995,220.35,96.56799999999996,30.47097356413961,6
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Child (<15)",Basic,0.678,434.877,257.6965,177.1805,40.74266976639371,4
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Child (<15)",Intermediate,0.678,261.324,167.97099999999998,93.35300000000004,35.72308704902728,6
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Child (<15)",Advanced,0.678,209.5755,185.03100000000003,24.54449999999997,11.711531166572414,8
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Adults (25-54)","Less than basic",0.678,127.78760000000001,95.14946666666667,32.63813333333334,25.54092363682653,30
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Adults (25-54)",Basic,0.678,181.34100000000004,115.5207,65.82030000000003,36.29642496732676,20
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Adults (25-54)",Intermediate,0.678,114.88159999999998,74.17100000000002,40.71059999999996,35.43700644837813,30
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Adults (25-54)",Advanced,0.678,107.62115789473687,110.24211764705883,-2.6209597523219657,-2.435357325262658,36
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Youth (15-24)","Less than basic",0.678,94.95483333333335,60.43750000000001,34.51733333333335,36.351317907285754,24
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Youth (15-24)",Basic,0.678,165.81825,89.728125,76.090125,45.88766616461095,16
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Youth (15-24)",Intermediate,0.678,108.84533333333336,69.68541666666665,39.1599166666667,35.9775798074332,24
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Youth (15-24)",Advanced,0.678,83.61030769230769,73.684,9.926307692307688,11.872109990118991,26
"North America","El Salvador",SLV_A,2018,Other,"Labour Force","Labour Force","Senior (55+)","Less than basic",0.678,50.317333333333345,34.11033333333333,16.207000000000015,32.20957655413644,24
