category,continent,ISO_A,country_clean,year,indicator,gender,classif_type1,classif_type2,sector,value,HDI_2023,age_group,education_level,unit,value_usd,scale,population,indicator_abbr,indicator_group
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): X. No schooling",Other,0.148,0.786,"Child (<15)","Less than basic",thousands,0.148,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): 0. Early childhood education",Other,0.121,0.786,"Child (<15)","Less than basic",thousands,0.121,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): 1. Primary education",Other,0.101,0.786,"Child (<15)",Basic,thousands,0.101,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): 2. Lower secondary education",Other,0.425,0.786,"Child (<15)",Intermediate,thousands,0.425,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): 3. Upper secondary education",Other,3.038,0.786,"Child (<15)",Intermediate,thousands,3.038,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.364,0.786,"Child (<15)",Advanced,thousands,0.364,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.759,0.786,"Child (<15)",Advanced,thousands,0.759,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.568,0.786,"Child (<15)",Advanced,thousands,0.568,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.12,0.786,"Child (<15)",Advanced,thousands,0.12,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): 8. Doctoral or equivalent level",Other,0.016,0.786,"Child (<15)",Advanced,thousands,0.016,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15+,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.032,0.786,"Child (<15)","Not stated",thousands,0.032,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (ISCED-11): X. No schooling",Other,0.144,0.786,"Adults (25-54)","Less than basic",thousands,0.144,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (ISCED-11): 0. Early childhood education",Other,0.118,0.786,"Adults (25-54)","Less than basic",thousands,0.118,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (ISCED-11): 1. Primary education",Other,0.097,0.786,"Adults (25-54)",Basic,thousands,0.097,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (ISCED-11): 2. Lower secondary education",Other,0.413,0.786,"Adults (25-54)",Intermediate,thousands,0.413,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (ISCED-11): 3. Upper secondary education",Other,2.958,0.786,"Adults (25-54)",Intermediate,thousands,2.958,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.346,0.786,"Adults (25-54)",Advanced,thousands,0.346,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.737,0.786,"Adults (25-54)",Advanced,thousands,0.737,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.526,0.786,"Adults (25-54)",Advanced,thousands,0.526,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-64,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.111,0.786,"Adults (25-54)",Advanced,thousands,0.111,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): X. No schooling",Other,0.008,0.786,"Youth (15-24)","Less than basic",thousands,0.008,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 1. Primary education",Other,0.005,0.786,"Youth (15-24)",Basic,thousands,0.005,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 2. Lower secondary education",Other,0.035,0.786,"Youth (15-24)",Intermediate,thousands,0.035,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 3. Upper secondary education",Other,0.19,0.786,"Youth (15-24)",Intermediate,thousands,0.19,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.014,0.786,"Youth (15-24)",Advanced,thousands,0.014,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.054,0.786,"Youth (15-24)",Advanced,thousands,0.054,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.016,0.786,"Youth (15-24)",Advanced,thousands,0.016,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): X. No schooling",Other,0.14,0.786,"Youth (15-24)","Less than basic",thousands,0.14,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): 0. Early childhood education",Other,0.118,0.786,"Youth (15-24)","Less than basic",thousands,0.118,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): 1. Primary education",Other,0.096,0.786,"Youth (15-24)",Basic,thousands,0.096,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): 2. Lower secondary education",Other,0.39,0.786,"Youth (15-24)",Intermediate,thousands,0.39,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): 3. Upper secondary education",Other,2.848,0.786,"Youth (15-24)",Intermediate,thousands,2.848,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.35,0.786,"Youth (15-24)",Advanced,thousands,0.35,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.705,0.786,"Youth (15-24)",Advanced,thousands,0.705,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.552,0.786,"Youth (15-24)",Advanced,thousands,0.552,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.119,0.786,"Youth (15-24)",Advanced,thousands,0.119,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): 8. Doctoral or equivalent level",Other,0.016,0.786,"Youth (15-24)",Advanced,thousands,0.016,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25+,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.032,0.786,"Youth (15-24)","Not stated",thousands,0.032,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): X. No schooling",Other,0.029,0.786,"Child (<15)","Less than basic",thousands,0.029,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): 0. Early childhood education",Other,0.017,0.786,"Child (<15)","Less than basic",thousands,0.017,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): 1. Primary education",Other,0.017,0.786,"Child (<15)",Basic,thousands,0.017,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): 2. Lower secondary education",Other,0.135,0.786,"Child (<15)",Intermediate,thousands,0.135,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): 3. Upper secondary education",Other,1.8,0.786,"Child (<15)",Intermediate,thousands,1.8,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.128,0.786,"Child (<15)",Advanced,thousands,0.128,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.857,0.786,"Child (<15)",Advanced,thousands,0.857,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.665,0.786,"Child (<15)",Advanced,thousands,0.665,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.145,0.786,"Child (<15)",Advanced,thousands,0.145,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): 8. Doctoral or equivalent level",Other,0.012,0.786,"Child (<15)",Advanced,thousands,0.012,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15+,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.042,0.786,"Child (<15)","Not stated",thousands,0.042,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (ISCED-11): X. No schooling",Other,0.027,0.786,"Adults (25-54)","Less than basic",thousands,0.027,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (ISCED-11): 0. Early childhood education",Other,0.014,0.786,"Adults (25-54)","Less than basic",thousands,0.014,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (ISCED-11): 1. Primary education",Other,0.013,0.786,"Adults (25-54)",Basic,thousands,0.013,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (ISCED-11): 2. Lower secondary education",Other,0.124,0.786,"Adults (25-54)",Intermediate,thousands,0.124,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (ISCED-11): 3. Upper secondary education",Other,1.758,0.786,"Adults (25-54)",Intermediate,thousands,1.758,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.122,0.786,"Adults (25-54)",Advanced,thousands,0.122,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.845,0.786,"Adults (25-54)",Advanced,thousands,0.845,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.639,0.786,"Adults (25-54)",Advanced,thousands,0.639,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-64,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.134,0.786,"Adults (25-54)",Advanced,thousands,0.134,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (ISCED-11): 3. Upper secondary education",Other,0.127,0.786,"Youth (15-24)",Intermediate,thousands,0.127,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.007,0.786,"Youth (15-24)",Advanced,thousands,0.007,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.046,0.786,"Youth (15-24)",Advanced,thousands,0.046,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,15-24,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.038,0.786,"Youth (15-24)",Advanced,thousands,0.038,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): X. No schooling",Other,0.028,0.786,"Youth (15-24)","Less than basic",thousands,0.028,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): 0. Early childhood education",Other,0.015,0.786,"Youth (15-24)","Less than basic",thousands,0.015,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): 1. Primary education",Other,0.017,0.786,"Youth (15-24)",Basic,thousands,0.017,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): 2. Lower secondary education",Other,0.131,0.786,"Youth (15-24)",Intermediate,thousands,0.131,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): 3. Upper secondary education",Other,1.673,0.786,"Youth (15-24)",Intermediate,thousands,1.673,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): 4. Post-secondary non-tertiary education",Other,0.121,0.786,"Youth (15-24)",Advanced,thousands,0.121,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): 5. Short-cycle tertiary education",Other,0.811,0.786,"Youth (15-24)",Advanced,thousands,0.811,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): 6. Bachelor's or equivalent level",Other,0.627,0.786,"Youth (15-24)",Advanced,thousands,0.627,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): 7. Master's or equivalent level",Other,0.144,0.786,"Youth (15-24)",Advanced,thousands,0.144,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): 8. Doctoral or equivalent level",Other,0.012,0.786,"Youth (15-24)",Advanced,thousands,0.012,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",F,25+,"Education (ISCED-11): 9. Not elsewhere classified",Other,0.042,0.786,"Youth (15-24)","Not stated",thousands,0.042,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (Aggregate levels): Less than basic",Other,0.011,0.786,"Youth (15-24)","Less than basic",thousands,0.011,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (Aggregate levels): Basic",Other,0.04,0.786,"Youth (15-24)",Basic,thousands,0.04,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (Aggregate levels): Intermediate",Other,0.204,0.786,"Youth (15-24)",Intermediate,thousands,0.204,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,15-24,"Education (Aggregate levels): Advanced",Other,0.071,0.786,"Youth (15-24)",Advanced,thousands,0.071,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-54,"Education (Aggregate levels): Less than basic",Other,0.222,0.786,"Adults (25-54)","Less than basic",thousands,0.222,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-54,"Education (Aggregate levels): Basic",Other,0.381,0.786,"Adults (25-54)",Basic,thousands,0.381,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-54,"Education (Aggregate levels): Intermediate",Other,2.588,0.786,"Adults (25-54)",Intermediate,thousands,2.588,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-54,"Education (Aggregate levels): Advanced",Other,1.104,0.786,"Adults (25-54)",Advanced,thousands,1.104,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,25-54,"Education (Aggregate levels): Level not stated",Other,0.018,0.786,"Adults (25-54)","Not stated",thousands,0.018,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (Aggregate levels): Less than basic",Other,0.029,0.786,"Senior (55+)","Less than basic",thousands,0.029,absolute,17792,LF,"Labour Force"
"Top 5",Oceania,PLW_A,Palau,2020,"Labour Force",M,55-64,"Education (Aggregate levels): Basic",Other,0.089,0.786,"Senior (55+)",Basic,thousands,0.089,absolute,17792,LF,"Labour Force"
